Date Time,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg)
2009-04-04 12:00:00,990.88,18.46,292.39,9.78,56.92,21.28,12.11,9.17,7.64,12.22,1178.21,1.57,3.0,216.6
2009-04-05 12:00:00,996.64,12.35,285.78,6.51,67.47,14.37,9.7,4.68,6.07,9.73,1211.57,1.21,2.5,69.81
2009-04-06 12:00:00,990.41,15.95,289.91,8.48,61.13,18.15,11.1,7.06,7.0,11.2,1188.33,0.93,1.5,47.2
2009-04-07 12:00:00,983.76,20.25,294.79,8.05,45.3,23.78,10.77,13.01,6.84,10.95,1163.17,3.26,4.88,137.2
2009-04-08 12:00:00,987.28,16.55,290.77,7.92,56.64,18.86,10.68,8.18,6.76,10.82,1182.29,3.52,5.38,220.8
2009-04-09 12:00:00,990.71,16.57,290.5,7.34,54.36,18.88,10.27,8.62,6.47,10.36,1186.53,1.29,2.63,161.9
2009-04-10 12:00:00,984.99,19.36,293.79,9.16,51.61,22.51,11.62,10.89,7.37,11.79,1167.79,1.48,2.38,95.2
2009-04-11 12:00:00,982.6,18.74,293.37,9.89,56.36,21.65,12.2,9.45,7.76,12.42,1167.15,3.28,5.25,39.63
2009-04-12 12:00:00,984.01,17.86,292.36,8.76,55.17,20.49,11.3,9.19,7.18,11.49,1172.78,4.18,5.88,31.2
2009-04-13 12:00:00,982.19,17.64,292.3,7.18,50.23,20.21,10.15,10.06,6.45,10.33,1172.01,1.55,2.88,66.23
2009-04-14 12:00:00,982.24,18.53,293.19,8.25,51.12,21.37,10.92,10.45,6.95,11.12,1168.14,3.52,5.63,23.3
2009-04-15 12:00:00,983.95,21.07,295.59,3.63,31.69,25.02,7.93,17.09,5.03,8.06,1161.42,3.03,5.25,153.3
2009-04-16 12:00:00,980.8,19.17,293.96,6.27,42.87,22.24,9.54,12.71,6.07,9.72,1164.49,3.46,6.38,111.9
2009-04-17 12:00:00,976.88,6.64,281.68,5.86,94.7,9.78,9.27,0.52,5.92,9.49,1211.87,0.91,2.63,21.03
2009-04-18 12:00:00,985.89,7.42,281.72,6.04,90.9,10.32,9.38,0.94,5.94,9.52,1219.65,0.95,2.5,44.21
2009-04-19 12:00:00,996.35,11.71,285.17,7.71,76.4,13.78,10.53,3.25,6.6,10.56,1213.54,4.78,6.5,23.73
2009-04-20 12:00:00,997.06,14.59,287.99,4.91,52.17,16.63,8.68,7.96,5.43,8.7,1203.11,4.26,6.63,14.13
2009-04-21 12:00:00,996.37,14.83,288.29,-1.61,32.12,16.89,5.43,11.47,3.39,5.45,1202.75,3.63,6.75,57.52
2009-04-22 12:00:00,992.19,15.07,288.88,5.12,51.3,17.16,8.8,8.35,5.54,8.87,1195.16,2.15,5.0,309.8
2009-04-23 12:00:00,995.62,8.07,281.58,3.67,73.7,10.79,7.95,2.84,4.98,7.99,1229.55,2.26,3.63,9.57
2009-04-24 12:00:00,995.88,12.96,286.46,6.87,66.44,14.96,9.94,5.02,6.23,9.98,1207.94,1.72,3.25,153.3
2009-04-25 12:00:00,988.16,18.73,292.89,4.09,37.84,21.64,8.19,13.45,5.17,8.29,1175.64,3.28,7.38,191.9
2009-04-26 12:00:00,983.04,19.02,293.61,7.18,46.06,22.04,10.15,11.89,6.45,10.32,1167.48,3.34,5.38,165.9
2009-04-27 12:00:00,978.44,18.59,293.57,7.81,49.4,21.45,10.6,10.85,6.76,10.83,1163.51,2.75,4.63,194.5
2009-04-28 12:00:00,973.45,20.39,295.82,8.26,45.56,23.99,10.93,13.06,7.01,11.23,1150.31,4.08,7.13,167.6
2009-04-29 12:00:00,980.49,9.66,284.42,8.62,93.2,12.02,11.2,0.82,7.14,11.42,1202.49,1.51,2.13,268.1
2009-04-30 12:00:00,989.77,14.71,288.72,9.79,72.3,16.76,12.12,4.64,7.65,12.24,1192.21,1.36,2.75,26.57
2009-05-01 12:00:00,994.27,15.94,289.58,10.16,68.49,18.14,12.42,5.72,7.81,12.5,1192.41,1.8,3.75,12.34
2009-05-02 12:00:00,998.74,17.39,290.66,8.02,54.06,19.89,10.75,9.14,6.72,10.77,1192.58,3.63,6.38,12.18
2009-05-03 12:00:00,995.01,19.34,292.92,4.59,37.72,22.48,8.48,14.0,5.32,8.52,1181.22,2.57,3.88,153.5
2009-05-04 12:00:00,997.06,6.85,280.25,4.55,85.2,9.92,8.46,1.47,5.29,8.48,1236.47,1.32,2.38,30.74
2009-05-05 12:00:00,992.03,10.99,284.8,1.68,52.51,13.13,6.9,6.24,4.34,6.95,1213.01,7.06,10.13,211.8
2009-05-06 12:00:00,987.19,12.45,286.67,6.67,67.74,14.47,9.8,4.67,6.2,9.93,1199.56,4.34,8.38,241.2
2009-05-07 12:00:00,990.55,17.22,291.17,7.5,52.74,19.68,10.38,9.3,6.54,10.48,1183.63,4.6,7.0,210.6
2009-05-08 12:00:00,987.28,16.83,291.05,10.79,67.53,19.2,12.96,6.23,8.21,13.13,1180.12,4.98,7.63,202.8
2009-05-09 12:00:00,993.64,16.4,290.09,6.41,51.55,18.68,9.63,9.05,6.05,9.69,1191.04,1.44,3.75,112.8
2009-05-10 12:00:00,994.2,14.89,288.53,5.1,51.82,16.96,8.79,8.17,5.52,8.84,1198.34,2.32,3.38,49.59
2009-05-11 12:00:00,990.45,12.07,286.01,10.48,90.0,14.11,12.7,1.41,8.01,12.82,1203.81,4.36,5.63,29.5
2009-05-12 12:00:00,996.29,11.84,285.3,2.3,51.89,13.9,7.21,6.69,4.51,7.24,1214.45,3.24,4.75,65.32
2009-05-13 12:00:00,992.84,14.67,288.42,6.35,57.33,16.72,9.58,7.13,6.03,9.65,1197.25,2.16,3.75,109.2
2009-05-14 12:00:00,985.5,14.6,288.96,4.3,49.95,16.64,8.31,8.33,5.26,8.44,1189.24,3.03,5.38,72.6
2009-05-15 12:00:00,981.99,17.4,292.07,10.77,65.02,19.9,12.94,6.96,8.24,13.18,1171.47,1.66,2.88,11.05
2009-05-16 12:00:00,987.8,15.57,289.75,4.82,48.64,17.72,8.62,9.1,5.44,8.72,1187.88,4.49,6.63,223.0
2009-05-17 12:00:00,987.41,20.59,294.82,9.05,47.47,24.29,11.53,12.76,7.3,11.68,1165.81,4.73,7.5,156.4
2009-05-18 12:00:00,992.37,18.32,292.12,8.99,54.46,21.09,11.49,9.61,7.23,11.57,1180.84,1.72,3.13,342.8
2009-05-19 12:00:00,995.23,19.68,293.24,5.98,40.69,22.96,9.34,13.62,5.86,9.39,1179.72,1.68,3.13,307.1
2009-05-20 12:00:00,994.59,20.7,294.32,11.05,53.94,24.45,13.19,11.26,8.29,13.26,1173.13,1.51,3.0,56.78
2009-05-21 12:00:00,985.79,20.7,295.07,12.1,57.8,24.45,14.13,10.32,8.97,14.34,1162.28,2.29,3.25,233.9
2009-05-22 12:00:00,988.14,13.81,287.95,10.39,79.8,15.81,12.62,3.19,7.98,12.77,1193.74,1.13,2.38,208.0
2009-05-23 12:00:00,994.53,16.1,289.71,6.23,51.87,18.33,9.51,8.82,5.97,9.56,1193.4,2.0,4.0,279.6
2009-05-24 12:00:00,990.63,23.06,297.02,11.47,48.01,28.24,13.56,14.68,8.56,13.69,1158.97,1.3,2.88,296.7
2009-05-25 12:00:00,992.79,22.33,296.1,10.91,48.37,27.02,13.07,13.95,8.23,13.16,1164.6,1.45,3.0,79.6
2009-05-26 12:00:00,984.34,23.78,298.28,15.91,61.4,29.49,18.11,11.38,11.52,18.4,1146.76,2.85,4.75,203.8
2009-05-27 12:00:00,997.99,14.48,287.81,3.08,46.16,16.51,7.62,8.89,4.76,7.64,1205.17,1.74,4.38,276.4
2009-05-28 12:00:00,996.33,15.32,288.78,9.23,66.97,17.43,11.68,5.76,7.32,11.72,1197.81,3.23,7.5,259.3
2009-05-29 12:00:00,1001.55,12.08,285.11,5.01,61.85,14.12,8.73,5.39,5.44,8.72,1219.15,4.57,7.25,16.19
2009-05-30 12:00:00,997.84,13.53,286.87,8.39,71.0,15.53,11.02,4.5,6.9,11.05,1207.43,4.26,6.75,17.3
2009-05-31 12:00:00,997.56,14.62,287.98,9.16,69.72,16.66,11.62,5.05,7.28,11.65,1202.24,3.79,6.88,38.63
2009-06-01 12:00:00,993.25,17.25,290.97,10.77,65.66,19.72,12.95,6.77,8.15,13.03,1185.58,3.44,6.13,20.85
2009-06-02 12:00:00,988.83,21.18,295.29,10.66,51.0,25.19,12.85,12.34,8.12,12.99,1164.56,2.89,6.25,359.4
2009-06-03 12:00:00,986.99,11.96,286.19,3.12,54.57,14.01,7.64,6.36,4.83,7.74,1202.38,3.44,8.25,259.0
2009-06-04 12:00:00,986.35,9.61,283.88,1.55,57.05,11.98,6.83,5.14,4.32,6.93,1211.96,3.11,5.88,246.7
2009-06-05 12:00:00,983.7,10.02,284.51,2.5,59.43,12.31,7.32,4.99,4.64,7.44,1206.72,1.47,2.88,306.1
2009-06-06 12:00:00,975.19,10.36,285.56,5.37,71.1,12.59,8.95,3.64,5.73,9.18,1194.06,2.68,4.25,15.55
2009-06-07 12:00:00,977.43,14.97,290.02,6.98,58.74,17.05,10.01,7.03,6.4,10.24,1177.18,3.87,5.88,236.7
2009-06-08 12:00:00,983.13,16.83,291.4,5.2,46.1,19.2,8.85,10.35,5.62,9.0,1177.0,8.5,12.0,213.7
2009-06-09 12:00:00,985.18,14.01,288.4,11.76,86.3,16.02,13.82,2.19,8.77,14.03,1188.76,1.59,2.63,224.0
2009-06-10 12:00:00,988.47,17.23,291.35,9.23,59.26,19.69,11.67,8.02,7.38,11.81,1180.51,6.31,10.13,212.8
2009-06-11 12:00:00,981.66,16.82,291.52,10.46,66.06,19.19,12.67,6.51,8.07,12.91,1173.54,4.81,8.25,250.6
2009-06-12 12:00:00,990.76,13.95,287.87,5.2,55.46,15.96,8.85,7.11,5.57,8.93,1198.06,3.55,10.38,256.7
2009-06-13 12:00:00,993.9,16.53,290.2,4.1,43.52,18.84,8.2,10.64,5.15,8.25,1191.46,2.38,5.13,219.1
2009-06-14 12:00:00,991.56,21.66,295.54,7.52,40.06,25.94,10.39,15.55,6.54,10.48,1166.99,3.56,6.25,212.8
2009-06-15 12:00:00,988.99,21.63,295.72,14.57,64.15,25.89,16.61,9.28,10.51,16.79,1161.29,1.12,2.13,29.72
2009-06-16 12:00:00,993.77,13.86,287.53,9.87,76.8,15.86,12.18,3.68,7.66,12.26,1200.56,2.35,4.25,245.9
2009-06-17 12:00:00,997.47,16.93,290.3,8.92,59.15,19.32,11.43,7.89,7.16,11.46,1192.64,1.46,2.38,134.4
2009-06-18 12:00:00,990.37,21.13,295.11,12.58,58.12,25.11,14.59,10.52,9.22,14.74,1165.8,1.92,3.88,253.5
2009-06-19 12:00:00,989.58,16.34,290.37,9.35,63.25,18.61,11.77,6.84,7.43,11.89,1185.42,1.19,2.75,300.2
2009-06-20 12:00:00,993.0,16.3,290.04,6.2,51.12,18.56,9.49,9.07,5.97,9.56,1190.74,3.02,5.5,272.7
2009-06-21 12:00:00,993.42,11.72,285.42,9.31,85.1,13.79,11.73,2.05,7.38,11.81,1209.36,0.7,1.75,116.5
2009-06-22 12:00:00,996.36,12.53,285.99,10.19,85.6,14.54,12.45,2.09,7.81,12.49,1209.18,1.62,3.63,60.07
2009-06-23 12:00:00,995.49,14.75,288.28,8.95,68.15,16.81,11.45,5.35,7.19,11.5,1199.27,3.97,6.13,12.6
2009-06-24 12:00:00,991.16,17.03,290.93,11.31,69.0,19.44,13.42,6.03,8.46,13.54,1183.76,5.44,8.25,12.43
2009-06-25 12:00:00,986.55,14.09,288.36,13.16,94.1,16.1,15.15,0.95,9.61,15.36,1189.48,3.45,4.88,21.83
2009-06-26 12:00:00,986.58,16.78,291.06,16.02,95.3,19.14,18.24,0.9,11.58,18.49,1177.08,2.92,3.88,42.74
2009-06-27 12:00:00,988.26,17.34,291.48,15.49,88.9,19.83,17.63,2.2,11.17,17.84,1177.1,2.45,3.5,8.75
2009-06-28 12:00:00,989.38,19.29,293.34,13.56,69.41,22.41,15.55,6.86,9.84,15.72,1171.52,3.95,5.38,33.28
2009-06-29 12:00:00,991.76,22.1,295.96,13.16,56.89,26.64,15.16,11.49,9.56,15.28,1163.36,2.89,5.0,23.6
2009-06-30 12:00:00,993.28,23.96,297.69,14.41,55.14,29.81,16.44,13.37,10.36,16.55,1157.29,1.75,4.0,57.89
2009-07-01 12:00:00,993.78,24.81,298.5,16.85,61.26,31.37,19.22,12.15,12.12,19.34,1153.35,2.4,4.25,21.87
2009-07-02 12:00:00,991.6,24.66,298.54,16.77,61.51,31.09,19.12,11.97,12.08,19.29,1151.42,2.81,4.75,44.97
2009-07-03 12:00:00,987.04,25.0,299.27,16.82,60.46,31.73,19.18,12.55,12.18,19.43,1144.75,2.75,4.88,29.16
2009-07-04 12:00:00,985.6,20.98,295.36,17.67,81.4,24.88,20.25,4.63,12.88,20.55,1158.21,0.9,1.5,1.01
2009-07-05 12:00:00,984.23,23.77,298.28,9.76,41.03,29.48,12.09,17.38,7.68,12.29,1149.34,2.38,4.0,298.1
2009-07-06 12:00:00,982.61,19.41,294.04,14.91,75.2,22.58,16.98,5.6,10.82,17.28,1162.34,2.1,3.25,257.3
2009-07-07 12:00:00,979.92,21.46,296.33,11.77,53.97,25.62,13.83,11.79,8.82,14.11,1152.48,4.4,6.25,208.2
2009-07-08 12:00:00,979.44,17.33,292.22,10.19,62.82,19.82,12.45,7.37,7.94,12.71,1168.92,6.23,10.13,212.0
2009-07-09 12:00:00,986.16,17.16,291.48,6.73,50.19,19.6,9.84,9.77,6.23,9.98,1178.85,5.17,9.38,235.4
2009-07-10 12:00:00,985.09,16.09,290.5,7.37,56.17,18.32,10.29,8.03,6.52,10.44,1181.72,6.38,10.88,218.3
2009-07-11 12:00:00,989.07,13.97,288.03,10.37,78.9,15.98,12.61,3.37,7.97,12.75,1194.21,2.17,3.63,145.6
2009-07-12 12:00:00,986.64,18.69,292.97,12.17,65.78,21.59,14.2,7.39,9.0,14.39,1171.27,4.36,6.38,212.0
2009-07-13 12:00:00,986.58,22.53,296.83,12.12,51.75,27.35,14.15,13.2,8.97,14.35,1156.01,4.73,6.5,210.0
2009-07-14 12:00:00,986.65,22.52,296.82,16.44,68.54,27.33,18.73,8.6,11.9,18.99,1154.09,4.69,8.13,213.2
